GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
escola,com.sistema.escola.dto.curso,CursoComMatriculasDTO,0,34,0,0,0,2,0,2,0,2
escola,com.sistema.escola.dto.curso,CreateCursoDTO,0,9,0,0,0,1,0,1,0,1
escola,com.sistema.escola.dto.curso,CursoSemMatriculasDTO,0,23,0,0,0,2,0,2,0,2
escola,com.sistema.escola.dto.aluno,AlunoSemMatriculasDTO,0,28,0,0,0,2,0,2,0,2
escola,com.sistema.escola.dto.aluno,AlunoComMatriculasDTO,0,39,0,0,0,2,0,2,0,2
escola,com.sistema.escola.dto.aluno,CreateAlunoDTO,0,9,0,0,0,1,0,1,0,1
escola,com.sistema.escola.controller,CursoController,23,3,0,0,3,1,3,1,3,1
escola,com.sistema.escola.controller,MatriculaController,48,3,0,0,6,1,6,1,6,1
escola,com.sistema.escola.controller,AlunoController,23,3,0,0,3,1,3,1,3,1
escola,com.sistema.escola.exceptions.handler,CustomizedResponseEntityExceptionHandler,72,3,0,0,8,1,4,1,4,1
escola,com.sistema.escola.entity.aluno,Email,0,20,1,3,0,6,1,3,0,2
escola,com.sistema.escola.entity.curso,CodigoCurso,0,20,1,3,0,6,1,3,0,2
escola,com.sistema.escola.entity.matricula,StatusMatricula,0,21,0,0,0,4,0,1,0,1
escola,com.sistema.escola.entity.matricula,CodigoMatricula,0,20,1,3,0,6,1,3,0,2
escola,com.sistema.escola.service,MatriculaService,0,304,0,26,0,65,0,20,0,7
escola,com.sistema.escola.service,AlunoService,0,69,0,2,0,20,0,5,0,4
escola,com.sistema.escola.service,CursoService,0,67,0,2,0,19,0,5,0,4
escola,com.sistema.escola.exceptions,ResourceConflictException,0,4,0,0,0,2,0,1,0,1
escola,com.sistema.escola.exceptions,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
escola,com.sistema.escola.exceptions,ResourceBadRequestException,4,0,0,0,2,0,1,0,1,0
escola,com.sistema.escola.exceptions,ExceptionResponse,21,0,0,0,8,0,4,0,4,0
escola,com.sistema.escola.dto.matricula,MatriculaSemCursoDTO,28,0,0,0,2,0,2,0,2,0
escola,com.sistema.escola.dto.matricula,MatriculaResponseDTO,0,34,0,0,0,2,0,2,0,2
escola,com.sistema.escola.dto.matricula,MatriculaSemAlunoDTO,28,0,0,0,2,0,2,0,2,0
escola,com.sistema.escola.dto.matricula,FinalizarMatriculaResponseDTO,0,38,0,0,0,2,0,2,0,2
escola,com.sistema.escola.dto.matricula,CreateMatriculaDTO,0,12,0,0,0,1,0,1,0,1
escola,com.sistema.escola.dto.matricula,FinalizarMatriculaDTO,0,6,0,0,0,1,0,1,0,1
escola,com.sistema.escola,EscolaApplication,7,3,0,0,3,1,2,1,2,1
